#"Step","Potential Energy (kJ/mole)","Temperature (K)"
17700,-23109.95212416764,276.3560017297062
17800,-23181.73163232504,280.68229639780253
17900,-23228.955694054603,288.95000715690094
18000,-23338.364592284837,297.4359332014884
18100,-23187.982695610903,291.728902618258
18200,-23266.42088599567,298.3269373079019
18300,-23306.470779583266,293.27274616795654
18400,-23175.257840766863,286.07092769604793
18500,-23175.525103099586,284.505437861417
18600,-23091.53663603653,278.8011336383485
18700,-23170.471809657,293.017143294009
18800,-23217.552886362595,297.7602286944495
18900,-23360.859951407823,297.25252794680455
19000,-23381.670661929937,297.94354624998493
19100,-23251.488028825435,301.69640963550324
19200,-23260.89977670851,301.6337596342955
19300,-23139.633500910888,294.8749053949369
19400,-23308.43556804856,298.3857874359664
19500,-23293.96252132667,296.6681045693358
19600,-23337.412899143004,299.7838469411621
19700,-23360.708546617534,303.3965402590505
19800,-23238.00303895719,297.48124993774604
19900,-23252.15466152056,292.0590376985891
20000,-23336.331190364144,299.0343635810408
