#"Step","Potential Energy (kJ/mole)","Temperature (K)"
18100,-334.9183576533334,293.0814781576006
18200,-320.0269910449534,296.615721251053
18300,-320.63174404862696,294.675134362147
18400,-305.1014447605032,294.51734055477056
18500,-301.6164047453794,296.37765056004105
18600,-302.276174614104,299.47829834842855
18700,-307.5123742574302,297.6929200750696
18800,-306.56370442631913,306.70915772592394
18900,-299.1655513312132,292.82279326893746
19000,-310.50909235231165,288.97171913602193
19100,-301.3331676497333,291.9234437447977
19200,-305.4935671231635,291.22904885159704
19300,-292.02081654010345,292.5997863389318
19400,-318.11146200235544,293.99902542704126
19500,-303.6085727416151,292.2950021893594
19600,-314.6396097851244,292.15234573470553
19700,-323.05237206374846,286.7262335023014
19800,-322.5645981242859,277.3745996832957
19900,-313.33541233428593,286.5369751194437
20000,-316.1565533096995,292.9227647443356
20100,-316.16728413170745,297.9031838884084
20200,-299.4042561471238,302.25771088588067
20300,-321.1910757468625,294.3795628951323
20400,-324.68252064942703,289.3910416096646
20500,-316.2603030649898,285.3396415028695
20600,-313.6944988024956,288.7301566250552
20700,-334.0507832417529,295.40541040844755
20800,-343.9134414607957,289.9927085366557
20900,-333.04417383924283,292.3308064622576
21000,-323.95029483372315,291.25604234473826
21100,-339.4757200874647,284.45987579952407
21200,-333.70349432726977,293.6174779476918
21300,-333.518278986265,294.8123044002761
21400,-321.29740739451097,291.2331961607167
21500,-323.9175422788537,275.6801576779165
21600,-319.06019158026163,280.9014832175556
21700,-322.8913182691659,277.99914939008704
21800,-344.3270401601517,281.29840940861595
21900,-323.64090625243887,285.98372923416434
22000,-333.15355629829975,287.2124101122624
22100,-351.2173539030408,289.34850142110764
22200,-339.19732017505936,285.633473938963
22300,-349.74638923488027,284.9769900746936
22400,-322.0013454585949,287.65917354938966
22500,-298.3976756721157,294.5853556591356
22600,-319.43040792877997,309.1945978886117
22700,-313.07507140677495,305.7686058885381
22800,-297.7698782593513,308.172982068541
22900,-321.4070092655143,304.73348365225706
23000,-292.3334383218294,302.6236041782585
23100,-312.07669085510594,293.60356171196963
23200,-327.6098228986217,304.126017647107
23300,-336.3531272299686,303.4148349277051
23400,-318.70667596168516,303.57149303736855
23500,-296.8591816824698,301.60334505797675
23600,-334.48411359788065,304.3185146416643
23700,-312.9570253585505,306.89822179350364
23800,-315.69018562883815,315.7267828151848
23900,-323.4829536533582,309.26466705959314
24000,-314.34205579875453,304.3516425718308
24100,-336.92676731707616,293.39825718901017
24200,-325.21137291403323,285.88569915168364
24300,-329.59838226092035,276.6095171842661
24400,-335.3224532656853,286.8780848221223
24500,-324.0123969415833,300.36714804299123
24600,-290.6351832944479,292.3271544769546
24700,-298.97144904207977,290.18646788776795
24800,-314.637471182081,282.2964991741636
24900,-303.86353138262933,284.7481341030942
25000,-317.5124030975398,289.99690445306953
25100,-317.4099633474843,293.6675037405809
25200,-326.94746860993786,286.1658419194556
25300,-312.8496937928756,288.4624734580902
25400,-308.85709649832023,306.7822230491007
25500,-310.68986545217496,311.20940271405124
25600,-309.7038879171926,305.43463166123786
25700,-327.5794669426156,317.017387737331
25800,-315.80411717471605,312.57970861833553
25900,-315.8035216596959,311.9281047587013
26000,-298.03743501683846,306.3031881677113
26100,-304.54478401513046,298.7898580883197
26200,-293.3041205700712,297.98420739108485
